Id,Sales
1,4110.94921875
857,4343.13574219
1713,4621.60205078
2569,5038.07910156
3425,5425.39599609
4281,4121.85351562
5137,3592.08227539
5993,3630.09130859
6849,3679.26171875
7705,3647.15136719
8561,4011.00610352
9417,4494.75390625
10273,4046.82470703
11129,4353.18554688
11985,4550.41259766
12841,5128.95117188
13697,5132.62207031
14553,5581.05712891
15409,5395.59277344
16265,4263.4296875
17121,3917.42529297
17977,3501.23852539
18833,3494.50488281
19689,3347.85253906
20545,3894.8449707
21401,5221.11865234
22257,3738.64355469
23113,4166.89746094
23969,4327.04150391
24825,4416.17333984
25681,4616.13037109
26537,5434.33056641
27393,5850.46337891
28249,4332.05957031
29105,3801.51416016
29961,3724.62548828
30817,3554.36938477
31673,3619.60009766
32529,3982.45410156
33385,5281.19384766
34241,4069.02807617
35097,4243.44287109
35953,4310.9453125
36809,4726.99267578
37665,4884.82275391
38521,5621.53369141
39377,6030.87988281
40233,4617.84765625
2,7297.12255859
858,8036.93994141
1714,8910.64160156
2570,9840.53027344
3426,4774.73876953
4282,4045.21142578
5138,5862.54638672
5994,5831.02001953
6850,6068.38671875
7706,6160.73876953
8562,5912.01269531
9418,4465.05029297
10274,3857.63964844
11130,7480.08154297
11986,7850.65136719
12842,8912.82617188
13698,9507.83789062
14554,10292.1015625
15410,4955.85058594
16266,4435.66552734
17122,6363.81933594
17978,5862.95996094
18834,5674.29052734
19690,5382.70556641
20546,5634.75585938
21402,4759.09667969
22258,3860.75048828
23114,7341.65576172
23970,7708.23583984
24826,8424.640625
25682,8794.37792969
26538,9848.40722656
27394,4982.46972656
28250,4244.30517578
29106,6160.90917969
29962,5959.61132812
30818,6019.77636719
31674,5904.30371094
32530,5925.81103516
33386,5322.17578125
34242,4162.97607422
35098,7303.85595703
35954,7552.3515625
36810,8033.47558594
37666,8576.50292969
38522,10065.5019531
39378,5915.11523438
40234,4760.84960938
3,8816.31445312
859,9057.09375
1715,10788.9384766
2571,11965.7910156
3427,3479.85791016
4283,6116.2109375
5139,8551.125
5995,8015.90234375
6851,7871.44287109
7707,8548.95605469
8563,9451.54589844
9419,3317.00048828
10275,5891.21875
11131,9764.35253906
11987,9875.46875
12843,10829.0722656
13699,12593.8457031
14555,14267.9716797
15411,4309.31298828
16267,7853.28027344
17123,10580.4130859
17979,9030.73242188
18835,8950.40234375
19691,9008.75292969
20547,9887.56054688
21403,3890.16650391
22259,6425.56298828
23115,10597.9462891
23971,10365.265625
24827,10407.9824219
25683,12312.8847656
26539,13704.4638672
27395,4139.66357422
28251,6884.01708984
29107,10062.0654297
29963,9290.56054688
30819,8665.5859375
31675,9709.74511719
32531,10196.0488281
33387,4086.93774414
34243,6958.01074219
35099,10685.0175781
35955,10648.4951172
36811,10743.3876953
37667,12235.6923828
38523,14411.7792969
39379,4869.34033203
40235,7763.92236328
4,7231.96289062
860,6872.45751953
1716,7676.99414062
2572,8866.58300781
3428,4071.38085938
4284,3647.18261719
5140,5035.58105469
5996,5589.72509766
6852,5092.98730469
7708,5278.42919922
8564,5924.18310547
9420,3827.76489258
10276,3396.77001953
11132,6417.59423828
11988,7502.91113281
12844,7577.72119141
13700,8430.21972656
14556,9641.21679688
15412,4752.28320312
16268,4100.53125
17124,5269.8515625
17980,5391.47167969
18836,4884.85986328
19692,4695.76367188
20548,5412.79394531
21404,4187.08251953
22260,3510.1574707
23116,6278.0390625
23972,7132.35302734
24828,6678.39501953
25684,7450.63818359
26540,9010.93554688
27396,4401.75634766
28252,3732.05151367
29108,5038.06933594
29964,5456.87353516
30820,4817.07714844
31676,5130.14990234
32532,5566.69189453
33388,4357.84716797
34244,3645.37744141
35100,6181.44042969
35956,7086.83789062
36812,6686.87890625
37668,7095.35302734
38524,9068.56445312
39380,4606.54541016
40236,4103.14111328
5,7037.87304688
861,7342.69921875
1717,8001.73242188
2573,9784.23730469
3429,4336.10693359
4285,6041.57714844
5141,6156.56201172
5997,5997.93359375
6853,5966.98291016
7709,6144.78759766
8565,7238.96777344
9421,3930.125
10277,5781.40917969
11133,7580.0703125
